Score,Method,Member,Comment
0.8509,mlp,DrDrewCain,
0.83603,mlp,MaximClouser,
0.82223,mlp,echo-cool,
0.82196,mlp,yueqih999,
0.82076,mlp,jrfeibelman,
0.81705,mlp,bwoody13,
0.81559,perceptron,MaximClouser,
0.81306,mlp,ivannikitovic,
0.8116,perceptron,echo-cool,
0.80935,mlp,angkywilliam,
0.80736,perceptron,ethan-yz-hao,
0.80696,mlp,Zhou1213CN,
0.80536,mlp,ethan-yz-hao,
0.79634,perceptron,bwoody13,
0.79514,mlp,gabidb,
0.79195,perceptron,ThomasfjWiener,
0.77443,perceptron,Kim-Sha,
0.77284,mlp,peter2520,
0.76022,perceptron,NickolasCavagnaro48,
0.76009,perceptron,AlphaWhiskyLou,
0.75783,mlp,AlphaWhiskyLou,
0.7577,perceptron,keyxxxxx,
0.75743,perceptron,yaxuanhuang0710,
0.75717,mlp,yaxuanhuang0710,
0.75677,mlp,ChengaFEI,
0.75664,perceptron,WenjieWangX,
0.75664,perceptron,ChengaFEI,
0.75412,mlp,hyh628,
0.75412,perceptron,LisaSamWang,
0.75252,perceptron,gabidb,
0.75186,perceptron,yueqih999,
0.75013,perceptron,iamyufan,
0.74987,perceptron,yz26cn,
0.74907,perceptron,chrystalquek,
0.74814,perceptron,DrDrewCain,
0.74761,mlp,GSYfate,
0.74588,perceptron,annetta-zheng,
0.74535,perceptron,jioffe502,
0.74349,mlp,Kim-Sha,
0.74124,perceptron,wingyiuc,
0.73964,mlp,yz26cn,
0.73885,perceptron,jrfeibelman,
0.7334,perceptron,Garethsun11,
0.73247,perceptron,CindyCindy424,
0.72929,mlp,annetta-zheng,
0.72783,perceptron,hyh628,
0.7277,mlp,NickolasCavagnaro48,
0.72584,perceptron,Rohan-Narayan,
0.72517,perceptron,angkywilliam,
0.72371,mlp,chrystalquek,
0.72371,perceptron,AmirFone,
0.72292,perceptron,NIC397,
0.72053,perceptron,theamzhao,
0.72053,perceptron,AAAngieShao,
0.72053,mlp,AAAngieShao,
0.71946,mlp,WenjieWangX,
0.71787,perceptron,peter2520,
0.71309,mlp,wingyiuc,
0.71269,perceptron,GSYfate,
0.71123,perceptron,erinmurphy11,
0.70977,perceptron,kevinwiranata,
0.70977,perceptron,PasserBy4,
0.70844,mlp,Tianye-Cornell,
0.70738,perceptron,Tianye-Cornell,
0.70685,mlp,Jasoniee,
0.70672,perceptron,connorpugh,
0.70539,mlp,LisaSamWang,
0.70393,perceptron,anthonysukotjo,
0.70154,mlp,AmirFone,
0.69862,mlp,apirjani,
0.6949,mlp,ptempelman,
0.69371,perceptron,zhouaad,
0.69304,mlp,JoyJoyWang,
0.69291,perceptron,JoyJoyWang,
0.69238,perceptron,Zhou1213CN,
0.69039,perceptron,Ethan-Minghao,
0.69039,mlp,Ethan-Minghao,
0.68415,perceptron,Marcozc19,
0.67459,perceptron,ptempelman,
0.67193,perceptron,lucassmulders,
0.67153,perceptron,jihoonkim25,
0.66649,perceptron,K7S3,
0.66543,mlp,Rohan-Narayan,
0.66184,perceptron,RachelYanggg,
0.65653,mlp,erinmurphy11,
0.64671,perceptron,Jasoniee,
0.64618,mlp,zhangdah,
0.64166,mlp,K7S3,
0.63941,perceptron,ivannikitovic,
