Score,Method,Member,Comment
0.79329,mlp,Vrownie YiChen8185 ethan-yz-hao sy464,
0.79219,mlp,Vrownie YiChen8185 annetta-zheng sy464,
0.78065,perceptron,Vrownie YiChen8185 bwoody13 sy464,
0.77845,mlp,AlphaWhiskyLou Vrownie YiChen8185 sy464,
0.7779,perceptron,CarlQGan Vrownie YiChen8185 sy464,
0.76745,perceptron,Vrownie YiChen8185 ethan-yz-hao sy464,
0.76581,mlp,DrDrewCain Vrownie YiChen8185 sy464,
0.76471,perceptron,Vrownie WenjieWangX YiChen8185 sy464,
0.76141,perceptron,Vrownie YiChen8185 lucassmulders sy464,
0.76141,mlp,Vrownie YiChen8185 bwoody13 sy464,
0.76086,perceptron,Vrownie YiChen8185 jonathanchen301 sy464,
0.75976,mlp,Vrownie YiChen8185 echo-cool sy464,
0.75151,perceptron,Kim-Sha Vrownie YiChen8185 sy464,
0.74876,perceptron,Vrownie YiChen8185 andrewbpark73 sy464,
0.74272,mlp,GSYfate Vrownie YiChen8185 sy464,
0.73667,perceptron,Vrownie YiChen8185 annetta-zheng sy464,
0.73392,mlp,Vrownie YiChen8185 hyh628 sy464,
0.73392,perceptron,AlphaWhiskyLou Vrownie YiChen8185 sy464,
0.72952,mlp,Vrownie YiChen8185 sy464 wingyiuc,
0.72787,perceptron,JoyJoyWang Vrownie YiChen8185 sy464,
0.71798,perceptron,Vrownie YiChen8185 sy464 wingyiuc,
0.71743,perceptron,GSYfate Vrownie YiChen8185 sy464,
0.71688,perceptron,Vrownie YiChen8185 sy464 tz275,
0.71413,perceptron,Vrownie YiChen8185 hyh628 sy464,
0.71028,perceptron,Vrownie YiChen8185 keyxxxxx sy464,
0.70918,mlp,Vrownie YiChen8185 erinmurphy11 sy464,
0.70478,perceptron,MaximClouser Vrownie YiChen8185 sy464,
0.68884,mlp,JoyJoyWang Vrownie YiChen8185 sy464,
0.68114,perceptron,Vrownie YiChen8185 echo-cool sy464,
0.6762,perceptron,AmonRS Vrownie YiChen8185 sy464,
0.6707,perceptron,Vrownie YiChen8185 erinmurphy11 sy464,
0.62892,perceptron,Vrownie YiChen8185 iamyufan sy464,
0.51127,perceptron,Vrownie YiChen8185 sy464 zezhili,
0.51072,mlp,Kim-Sha Vrownie YiChen8185 sy464,
0.50137,perceptron,Vrownie YiChen8185 sy464 zhouaad,
0.50137,mlp,Vrownie YiChen8185 sy464 zhouaad,
0.50137,perceptron,Vrownie YiChen8185 sy464 zhangdah,
0.50137,mlp,Vrownie YiChen8185 sy464 zhangdah,
0.50137,mlp,Vrownie YiChen8185 sy464 zezhili,
0.50137,perceptron,Vrownie YiChen8185 sy464 yueqih999,
0.50137,mlp,Vrownie YiChen8185 sy464 yueqih999,
0.50137,perceptron,Vrownie YiChen8185 sy464 ysygMhdyt,
0.50137,mlp,Vrownie YiChen8185 sy464 ysygMhdyt,
0.50137,perceptron,Vrownie YiChen8185 sy464 yixuan-wyx,
0.50137,mlp,Vrownie YiChen8185 sy464 yixuan-wyx,
0.50137,perceptron,Vrownie YiChen8185 sy464 yaxuanhuang0710,
0.50137,mlp,Vrownie YiChen8185 sy464 yaxuanhuang0710,
0.50137,perceptron,Vrownie YiChen8185 sy464 wjr83,
0.50137,mlp,Vrownie YiChen8185 sy464 wjr83,
0.50137,perceptron,Vrownie YiChen8185 sy464 wh476,
0.50137,mlp,Vrownie YiChen8185 sy464 wh476,
0.50137,perceptron,Vrownie YiChen8185 sy464 weiweimonster,
0.50137,mlp,Vrownie YiChen8185 sy464 weiweimonster,
0.50137,perceptron,Vrownie YiChen8185 sy464 vschiniah,
0.50137,mlp,Vrownie YiChen8185 sy464 vschiniah,
0.50137,perceptron,Vrownie YiChen8185 sy464 vrushank-agrawal,
0.50137,mlp,Vrownie YiChen8185 sy464 vrushank-agrawal,
0.50137,perceptron,Vrownie YiChen8185 sy464 theamzhao,
0.50137,mlp,Vrownie YiChen8185 sy464 theamzhao,
0.50137,perceptron,Vrownie YiChen8185 srimoyee1212 sy464,
0.50137,mlp,Vrownie YiChen8185 srimoyee1212 sy464,
0.50137,perceptron,Vrownie YiChen8185 srilaasya sy464,
0.50137,mlp,Vrownie YiChen8185 srilaasya sy464,
0.50137,perceptron,Vrownie YiChen8185 shahkaran2807 sy464,
0.50137,mlp,Vrownie YiChen8185 shahkaran2807 sy464,
0.50137,perceptron,Vrownie YiChen8185 ryurtyn sy464,
0.50137,mlp,Vrownie YiChen8185 ryurtyn sy464,
0.50137,perceptron,Vrownie YiChen8185 ryanhlewis sy464,
0.50137,mlp,Vrownie YiChen8185 ryanhlewis sy464,
0.50137,perceptron,Vrownie YiChen8185 ruitian1212 sy464,
0.50137,mlp,Vrownie YiChen8185 ruitian1212 sy464,
0.50137,perceptron,Vrownie YiChen8185 rl792 sy464,
0.50137,mlp,Vrownie YiChen8185 rl792 sy464,
0.50137,perceptron,Vrownie YiChen8185 peter2520 sy464,
0.50137,mlp,Vrownie YiChen8185 peter2520 sy464,
0.50137,perceptron,Vrownie YiChen8185 pandaofhead sy464,
0.50137,mlp,Vrownie YiChen8185 pandaofhead sy464,
0.50137,perceptron,Vrownie YiChen8185 ndmnh sy464,
0.50137,mlp,Vrownie YiChen8185 ndmnh sy464,
0.50137,perceptron,Vrownie YiChen8185 mikezzb sy464,
0.50137,mlp,Vrownie YiChen8185 mikezzb sy464,
0.50137,perceptron,Vrownie YiChen8185 madhavMathur sy464,
0.50137,mlp,Vrownie YiChen8185 madhavMathur sy464,
0.50137,mlp,Vrownie YiChen8185 lucassmulders sy464,
0.50137,perceptron,Vrownie YiChen8185 liuyi215 sy464,
0.50137,mlp,Vrownie YiChen8185 liuyi215 sy464,
0.50137,perceptron,Vrownie YiChen8185 kzm6 sy464,
0.50137,mlp,Vrownie YiChen8185 kzm6 sy464,
0.50137,perceptron,Vrownie YiChen8185 koapushjin sy464,
0.50137,mlp,Vrownie YiChen8185 koapushjin sy464,
0.50137,perceptron,Vrownie YiChen8185 kimianj sy464,
0.50137,mlp,Vrownie YiChen8185 kimianj sy464,
0.50137,mlp,Vrownie YiChen8185 keyxxxxx sy464,
0.50137,perceptron,Vrownie YiChen8185 kevinwiranata sy464,
0.50137,mlp,Vrownie YiChen8185 kevinwiranata sy464,
0.50137,perceptron,Vrownie YiChen8185 katherinelui sy464,
0.50137,mlp,Vrownie YiChen8185 katherinelui sy464,
0.50137,perceptron,Vrownie YiChen8185 justinamo sy464,
0.50137,mlp,Vrownie YiChen8185 justinamo sy464,
0.50137,perceptron,Vrownie YiChen8185 jro22 sy464,
0.50137,mlp,Vrownie YiChen8185 jro22 sy464,
0.50137,perceptron,Vrownie YiChen8185 jrfeibelman sy464,
0.50137,mlp,Vrownie YiChen8185 jrfeibelman sy464,
0.50137,mlp,Vrownie YiChen8185 jonathanchen301 sy464,
0.50137,perceptron,Vrownie YiChen8185 jioffe502 sy464,
0.50137,mlp,Vrownie YiChen8185 jioffe502 sy464,
0.50137,perceptron,Vrownie YiChen8185 jaekim123 sy464,
0.50137,mlp,Vrownie YiChen8185 jaekim123 sy464,
0.50137,perceptron,Vrownie YiChen8185 jaackiekim sy464,
0.50137,mlp,Vrownie YiChen8185 jaackiekim sy464,
0.50137,perceptron,Vrownie YiChen8185 ivannikitovic sy464,
0.50137,mlp,Vrownie YiChen8185 ivannikitovic sy464,
0.50137,perceptron,Vrownie YiChen8185 hboon3 sy464,
0.50137,mlp,Vrownie YiChen8185 hboon3 sy464,
0.50137,perceptron,Vrownie YiChen8185 haranrk sy464,
0.50137,mlp,Vrownie YiChen8185 haranrk sy464,
0.50137,perceptron,Vrownie YiChen8185 hanqi-zhou sy464,
0.50137,mlp,Vrownie YiChen8185 hanqi-zhou sy464,
0.50137,perceptron,Vrownie YiChen8185 hangvtran sy464,
0.50137,mlp,Vrownie YiChen8185 hangvtran sy464,
0.50137,perceptron,Vrownie YiChen8185 genpira13 sy464,
0.50137,mlp,Vrownie YiChen8185 genpira13 sy464,
0.50137,perceptron,Vrownie YiChen8185 gabidb sy464,
0.50137,mlp,Vrownie YiChen8185 gabidb sy464,
0.50137,perceptron,Vrownie YiChen8185 connorpugh sy464,
0.50137,mlp,Vrownie YiChen8185 connorpugh sy464,
0.50137,perceptron,Vrownie YiChen8185 chrystalquek sy464,
0.50137,mlp,Vrownie YiChen8185 chrystalquek sy464,
0.50137,perceptron,Vrownie YiChen8185 aryanpatil1503 sy464,
0.50137,mlp,Vrownie YiChen8185 aryanpatil1503 sy464,
0.50137,perceptron,Vrownie YiChen8185 arman0624 sy464,
0.50137,mlp,Vrownie YiChen8185 arman0624 sy464,
0.50137,perceptron,Vrownie YiChen8185 arielhsieh8 sy464,
0.50137,mlp,Vrownie YiChen8185 arielhsieh8 sy464,
0.50137,perceptron,Vrownie YiChen8185 apirjani sy464,
0.50137,mlp,Vrownie YiChen8185 apirjani sy464,
0.50137,perceptron,Vrownie YiChen8185 anya-23-ct sy464,
0.50137,mlp,Vrownie YiChen8185 anya-23-ct sy464,
0.50137,perceptron,Vrownie YiChen8185 anthonysukotjo sy464,
0.50137,mlp,Vrownie YiChen8185 anthonysukotjo sy464,
0.50137,mlp,Vrownie YiChen8185 andrewbpark73 sy464,
0.50137,perceptron,Vrownie YiChen8185 ananya834 sy464,
0.50137,mlp,Vrownie YiChen8185 ananya834 sy464,
0.50137,perceptron,Vrownie YiChen8185 aidanasingh sy464,
0.50137,mlp,Vrownie YiChen8185 aidanasingh sy464,
0.50137,perceptron,Vrownie YiChen8185 Zhou1213CN sy464,
0.50137,mlp,Vrownie YiChen8185 Zhou1213CN sy464,
0.50137,mlp,Vrownie WenjieWangX YiChen8185 sy464,
0.50137,perceptron,Toison Vrownie YiChen8185 sy464,
0.50137,mlp,Toison Vrownie YiChen8185 sy464,
0.50137,perceptron,Tianye-Cornell Vrownie YiChen8185 sy464,
0.50137,mlp,Tianye-Cornell Vrownie YiChen8185 sy464,
0.50137,perceptron,ThomasfjWiener Vrownie YiChen8185 sy464,
0.50137,mlp,ThomasfjWiener Vrownie YiChen8185 sy464,
0.50137,perceptron,TechnoLuckkk Vrownie YiChen8185 sy464,
0.50137,mlp,TechnoLuckkk Vrownie YiChen8185 sy464,
0.50137,perceptron,SrijeetaBiswas Vrownie YiChen8185 sy464,
0.50137,mlp,SrijeetaBiswas Vrownie YiChen8185 sy464,
0.50137,perceptron,Shoudong-Zhu Vrownie YiChen8185 sy464,
0.50137,mlp,Shoudong-Zhu Vrownie YiChen8185 sy464,
0.50137,perceptron,RuojiaTao Vrownie YiChen8185 sy464,
0.50137,mlp,RuojiaTao Vrownie YiChen8185 sy464,
0.50137,perceptron,Rohan-Narayan Vrownie YiChen8185 sy464,
0.50137,mlp,Rohan-Narayan Vrownie YiChen8185 sy464,
0.50137,perceptron,RachelYanggg Vrownie YiChen8185 sy464,
0.50137,mlp,RachelYanggg Vrownie YiChen8185 sy464,
0.50137,perceptron,Priyanshiguptaaa Vrownie YiChen8185 sy464,
0.50137,mlp,Priyanshiguptaaa Vrownie YiChen8185 sy464,
0.50137,perceptron,PasserBy4 Vrownie YiChen8185 sy464,
0.50137,mlp,PasserBy4 Vrownie YiChen8185 sy464,
0.50137,perceptron,PaigeBrown577 Vrownie YiChen8185 sy464,
0.50137,mlp,PaigeBrown577 Vrownie YiChen8185 sy464,
0.50137,perceptron,NickolasCavagnaro48 Vrownie YiChen8185 sy464,
0.50137,mlp,NickolasCavagnaro48 Vrownie YiChen8185 sy464,
0.50137,perceptron,Nero-LL Vrownie YiChen8185 sy464,
0.50137,mlp,Nero-LL Vrownie YiChen8185 sy464,
0.50137,perceptron,Nathaniel-Nirmal Vrownie YiChen8185 sy464,
0.50137,mlp,Nathaniel-Nirmal Vrownie YiChen8185 sy464,
0.50137,perceptron,NIC397 Vrownie YiChen8185 sy464,
0.50137,mlp,NIC397 Vrownie YiChen8185 sy464,
0.50137,perceptron,Mraj23 Vrownie YiChen8185 sy464,
0.50137,mlp,Mraj23 Vrownie YiChen8185 sy464,
