Score,Team,Members,Comment
0.15444,wer_wizards,connorpugh hyh628 theamzhao,
0.15444,unqualified-capybara,984580403hyxhj Kim-Sha hanqi-zhou,
0.15444,transformers-united,apirjani kevinwiranata,
0.15444,tokentitans,AmirFone LeoBueno15 anthonysukotjo,
0.15444,titanic,tz275 weiweimonster,
0.15444,tests,keyxxxxx,
0.15444,test404,RachelYanggg WenjieWangX,
0.15444,team28,bwoody13 hboon3 mikezzb,
0.15444,team27,AAAngieShao erinmurphy11 hst45,
0.15444,team20,AlphaWhiskyLou ethan-yz-hao,
0.15444,squirrels,DrDrewCain anya-23-ct zezhili,
0.15444,perplexed,Khushibhansali haranrk wingyiuc,
0.15444,nolossprogrammers,GuralTOO arman0624 echo-cool,
0.15444,nolastminute,ndmnh zhouaad,
0.15444,nlp_survivors,justinamo ysygMhdyt yueqih999,
0.15444,nlp_ppl,NIC397 jrfeibelman,
0.15444,lang_learners,Nathaniel-Nirmal,
0.15444,helloworld,Ethan-Minghao SrijeetaBiswas gabidb,
