Score,Method,Team,Members,Comment
0.06406,transformer,team28,bwoody13 hboon3 mikezzb,
0.08363,transformer,team17,GSYfate zhangdah,
0.1121,character_n_gram,team17,GSYfate zhangdah,
0.1121,transformer,transformers-united,apirjani kevinwiranata,
0.12456,character_n_gram,nolossprogrammers,GuralTOO arman0624 echo-cool,
0.12633,subword_n_gram,team28,bwoody13 hboon3 mikezzb,
0.12811,transformer,helloworld,Ethan-Minghao SrijeetaBiswas gabidb,
0.12811,subword_n_gram,nlp_ppl,NIC397 jrfeibelman,
0.12811,transformer,team25,JoyJoyWang peter2520 srjsissel,
0.13345,transformer,squirtle,Marcozc19 Mercury-W-C-J angkywilliam,
0.13523,character_n_gram,notpayingattention,AmonRS aidanasingh annetta-zheng,
0.13701,subword_n_gram,transformers-united,apirjani kevinwiranata,
0.14057,subword_n_gram,team20,AlphaWhiskyLou ethan-yz-hao,
0.14413,transformer,nlp_ppl,NIC397 jrfeibelman,
0.14413,subword_n_gram,squirtle,Marcozc19 Mercury-W-C-J angkywilliam,
0.14591,subword_n_gram,team17,GSYfate zhangdah,
0.14769,subword_n_gram,thelanguageteam,Priyanshiguptaaa ThomasfjWiener jioffe502,
0.14947,transformer,team27,AAAngieShao erinmurphy11 hst45,
0.15125,subword_n_gram,nlp_survivors,justinamo ysygMhdyt yueqih999,
0.15125,transformer,transformer,CindyCindy424 Garethsun11 yz26cn,
0.15302,subword_n_gram,lang_learners,K7S3 Nathaniel-Nirmal Rohan-Narayan,
0.1548,subword_n_gram,board-leaders,PasserBy4 Toison jihoonkim25 lucassmulders,
0.1548,transformer,unqualified-capybara,984580403hyxhj Kim-Sha hanqi-zhou,
0.15658,subword_n_gram,nolossprogrammers,GuralTOO arman0624 echo-cool,
0.15836,transformer,tokentitans,AmirFone LeoBueno15 anthonysukotjo,
0.15836,subword_n_gram,wer_wizards,connorpugh hyh628 theamzhao,
0.16014,transformer,nlp,ananya834 ivannikitovic,
0.16014,character_n_gram,nlp_ppl,NIC397 jrfeibelman,
0.16014,character_n_gram,team20,AlphaWhiskyLou ethan-yz-hao,
0.16014,character_n_gram,team28,bwoody13 hboon3 mikezzb,
0.16014,character_n_gram,transformers-united,apirjani kevinwiranata,
0.16192,character_n_gram,tokentitans,AmirFone LeoBueno15 anthonysukotjo,
0.16192,subword_n_gram,tokentitans,AmirFone LeoBueno15 anthonysukotjo,
0.16192,character_n_gram,wer_wizards,connorpugh hyh628 theamzhao,
0.1637,transformer,perplexed,Khushibhansali haranrk wingyiuc,
0.16548,character_n_gram,nlp,ananya834 ivannikitovic,
0.16726,character_n_gram,lang_learners,K7S3 Nathaniel-Nirmal Rohan-Narayan,
0.16904,transformer,team20,AlphaWhiskyLou ethan-yz-hao,
0.16904,character_n_gram,team25,JoyJoyWang peter2520 srjsissel,
0.16904,transformer,the_transformers,MaximClouser chrystalquek iamyufan jaackiekim,
0.16904,subword_n_gram,titanic,Jasoniee tz275 weiweimonster,
0.16904,subword_n_gram,unqualified-capybara,984580403hyxhj Kim-Sha hanqi-zhou,
0.17082,transformer,board-leaders,PasserBy4 Toison jihoonkim25 lucassmulders,
0.17082,character_n_gram,csp_nlp_a2,ChengaFEI genpira13 ptempelman srilaasya,
0.17082,character_n_gram,the_transformers,MaximClouser chrystalquek iamyufan jaackiekim,
0.17082,character_n_gram,unqualified-capybara,984580403hyxhj Kim-Sha hanqi-zhou,
0.1726,subword_n_gram,helloworld,Ethan-Minghao SrijeetaBiswas gabidb,
0.1726,subword_n_gram,nlp,ananya834 ivannikitovic,
0.1726,character_n_gram,nlp_survivors,justinamo ysygMhdyt yueqih999,
0.1726,character_n_gram,test404,RachelYanggg Shoudong-Zhu WenjieWangX,
0.1726,character_n_gram,titanic,Jasoniee tz275 weiweimonster,
0.1726,transformer,titanic,Jasoniee tz275 weiweimonster,
0.17438,transformer,nolossprogrammers,GuralTOO arman0624 echo-cool,
0.17438,character_n_gram,perplexed,Khushibhansali haranrk wingyiuc,
0.17438,character_n_gram,squirtle,Marcozc19 Mercury-W-C-J angkywilliam,
0.17438,subword_n_gram,team25,JoyJoyWang peter2520 srjsissel,
0.17438,character_n_gram,thelanguageteam,Priyanshiguptaaa ThomasfjWiener jioffe502,
0.17438,transformer,thelanguageteam,Priyanshiguptaaa ThomasfjWiener jioffe502,
0.17616,character_n_gram,nolastminute,Nero-LL ndmnh zhouaad,
0.17616,character_n_gram,team27,AAAngieShao erinmurphy11 hst45,
0.17616,subword_n_gram,the_transformers,MaximClouser chrystalquek iamyufan jaackiekim,
0.17794,transformer,lang_learners,K7S3 Nathaniel-Nirmal Rohan-Narayan,
0.17794,transformer,nolastminute,Nero-LL ndmnh zhouaad,
0.17794,transformer,test404,RachelYanggg Shoudong-Zhu WenjieWangX,
0.17794,character_n_gram,transformer,CindyCindy424 Garethsun11 yz26cn,
0.17972,subword_n_gram,csp_nlp_a2,ChengaFEI genpira13 ptempelman srilaasya,
0.18149,character_n_gram,helloworld,Ethan-Minghao SrijeetaBiswas gabidb,
0.18149,transformer,notpayingattention,AmonRS aidanasingh annetta-zheng,
0.18149,transformer,squirrels,DrDrewCain anya-23-ct zezhili,
0.18327,character_n_gram,board-leaders,PasserBy4 Toison jihoonkim25 lucassmulders,
0.18327,subword_n_gram,notpayingattention,AmonRS aidanasingh annetta-zheng,
0.18505,transformer,csp_nlp_a2,ChengaFEI genpira13 ptempelman srilaasya,
0.18683,transformer,wer_wizards,connorpugh hyh628 theamzhao,
0.18861,subword_n_gram,squirrels,DrDrewCain anya-23-ct zezhili,
0.18861,subword_n_gram,transformer,CindyCindy424 Garethsun11 yz26cn,
0.19039,subword_n_gram,nolastminute,Nero-LL ndmnh zhouaad,
0.19039,subword_n_gram,perplexed,Khushibhansali haranrk wingyiuc,
0.19395,subword_n_gram,team27,AAAngieShao erinmurphy11 hst45,
0.20107,character_n_gram,squirrels,DrDrewCain anya-23-ct zezhili,
,transformer,nlp_survivors,justinamo ysygMhdyt yueqih999,Error computing correlation!
,subword_n_gram,test404,RachelYanggg Shoudong-Zhu WenjieWangX,Error computing correlation!
,character_n_gram,tests,keyxxxxx,Error computing correlation!
,subword_n_gram,tests,keyxxxxx,Error computing correlation!
,transformer,tests,keyxxxxx,Error computing correlation!
