Score,Method,Member,Comment
0.02931,gpt2,yueqih999,
0.02931,gpt2,ysygMhdyt,
0.02931,gpt2,wingyiuc,
0.02931,gpt2,weiweimonster,
0.02931,gpt2,theamzhao,
0.02931,gpt2,ndmnh,
0.02931,gpt2,mikezzb,
0.02931,gpt2,kevinwiranata,
0.02931,gpt2,jihoonkim25,
0.02931,gpt2,gabidb,
0.02931,gpt2,erinmurphy11,
0.02931,gpt2,chrystalquek,
0.02931,gpt2,arman0624,
0.02931,gpt2,anthonysukotjo,
0.02931,gpt2,annetta-zheng,
0.02931,gpt2,angkywilliam,
0.02931,gpt2,ananya834,
0.02931,gpt2,Nathaniel-Nirmal,
0.02931,gpt2,LeoBueno15,
0.02931,gpt2,DrDrewCain,
0.02931,gpt2,AlphaWhiskyLou,
-0.00453,word2vec,yueqih999,
-0.00453,word2vec,ysygMhdyt,
-0.00453,word2vec,wingyiuc,
-0.00453,word2vec,weiweimonster,
-0.00453,word2vec,theamzhao,
-0.00453,word2vec,ndmnh,
-0.00453,word2vec,mikezzb,
-0.00453,word2vec,kevinwiranata,
-0.00453,word2vec,jihoonkim25,
-0.00453,word2vec,gabidb,
-0.00453,word2vec,erinmurphy11,
-0.00453,word2vec,chrystalquek,
-0.00453,word2vec,arman0624,
-0.00453,word2vec,anthonysukotjo,
-0.00453,word2vec,annetta-zheng,
-0.00453,word2vec,angkywilliam,
-0.00453,word2vec,ananya834,
-0.00453,word2vec,Nathaniel-Nirmal,
-0.00453,word2vec,LeoBueno15,
-0.00453,word2vec,DrDrewCain,
-0.00453,word2vec,AlphaWhiskyLou,
-0.02733,bert,yueqih999,
-0.02733,bert,ysygMhdyt,
-0.02733,bert,wingyiuc,
-0.02733,bert,weiweimonster,
-0.02733,bert,theamzhao,
-0.02733,bert,ndmnh,
-0.02733,bert,mikezzb,
-0.02733,bert,kevinwiranata,
-0.02733,bert,jihoonkim25,
-0.02733,bert,gabidb,
-0.02733,bert,erinmurphy11,
-0.02733,bert,chrystalquek,
-0.02733,bert,arman0624,
-0.02733,bert,anthonysukotjo,
-0.02733,bert,annetta-zheng,
-0.02733,bert,angkywilliam,
-0.02733,bert,ananya834,
-0.02733,bert,Nathaniel-Nirmal,
-0.02733,bert,LeoBueno15,
-0.02733,bert,DrDrewCain,
-0.02733,bert,AlphaWhiskyLou,
