Record F1,Method,Member,Comment
nan,llm,ptempelman,
0.78464,t5_ft,ethan-yz-hao,
0.77961,t5_ft,JoyJoyWang,
0.77706,t5_ft,RachelYanggg,
0.77576,t5_ft,mikezzb,
0.76640,t5_ft,bwoody13,
0.76113,t5_ft,MaximClouser,
0.75904,t5_ft,yueqih999,
0.75611,t5_ft,wingyiuc,
0.71192,t5_ft,GSYfate,
0.69534,t5_ft,jioffe502,
0.69030,t5_ft,echo-cool,
0.68469,t5_ft,Nero-LL,
0.68140,t5_ft,NIC397,
0.66722,t5_ft,Marcozc19,
0.66324,t5_ft,984580403hyxhj,
0.66212,t5_ft,chrystalquek,
0.64451,t5_ft,AlphaWhiskyLou,
0.63456,t5_ft,hanqi-zhou,
0.59614,t5_ft,Rohan-Narayan,
0.58638,t5_ft,ptempelman,
0.53784,t5_ft,srjsissel,
0.51083,t5_scr,RachelYanggg,
0.41089,t5_scr,erinmurphy11,
0.40238,t5_scr,bwoody13,
0.38918,t5_ft,erinmurphy11,
0.36920,t5_scr,MaximClouser,
0.30254,t5_scr,echo-cool,
0.29782,t5_ft,ysygMhdyt,
0.14869,llm,MaximClouser,
0.12056,t5_ft,gabidb,
0.11608,t5_ft,ndmnh,
0.11261,llm,bwoody13,
0.05093,t5_scr,yueqih999,
0.05093,t5_ft,CindyCindy424,
0.00000,llm,zhouaad,
0.00000,t5_ft,zhouaad,
0.00000,t5_scr,zhouaad,
0.00000,llm,zhangdah,
0.00000,t5_ft,zhangdah,
0.00000,t5_scr,zhangdah,
0.00000,llm,zezhili,
0.00000,t5_ft,zezhili,
0.00000,t5_scr,zezhili,
0.00000,llm,yz26cn,
0.00000,t5_ft,yz26cn,
0.00000,t5_scr,yz26cn,
0.00000,llm,yueqih999,
0.00000,llm,ysygMhdyt,
0.00000,t5_scr,ysygMhdyt,
0.00000,llm,wingyiuc,
0.00000,t5_scr,wingyiuc,
0.00000,llm,tz275,
0.00000,t5_ft,tz275,
0.00000,t5_scr,tz275,
0.00000,llm,theamzhao,
0.00000,t5_ft,theamzhao,
0.00000,t5_scr,theamzhao,
0.00000,llm,srjsissel,
0.00000,t5_scr,srjsissel,
0.00000,t5_scr,ptempelman,
0.00000,llm,peter2520,
0.00000,t5_ft,peter2520,
0.00000,t5_scr,peter2520,
0.00000,llm,ndmnh,
0.00000,t5_scr,ndmnh,
0.00000,llm,mikezzb,
0.00000,t5_scr,mikezzb,
0.00000,llm,lucassmulders,
0.00000,t5_ft,lucassmulders,
0.00000,t5_scr,lucassmulders,
0.00000,llm,kevinwiranata,
0.00000,t5_ft,kevinwiranata,
0.00000,t5_scr,kevinwiranata,
0.00000,llm,jrfeibelman,
0.00000,t5_ft,jrfeibelman,
0.00000,t5_scr,jrfeibelman,
0.00000,llm,jioffe502,
0.00000,t5_scr,jioffe502,
0.00000,llm,jihoonkim25,
0.00000,t5_ft,jihoonkim25,
0.00000,t5_scr,jihoonkim25,
0.00000,llm,jaackiekim,
0.00000,t5_ft,jaackiekim,
0.00000,t5_scr,jaackiekim,
0.00000,llm,ivannikitovic,
0.00000,t5_ft,ivannikitovic,
0.00000,t5_scr,ivannikitovic,
0.00000,llm,iamyufan,
0.00000,t5_ft,iamyufan,
0.00000,t5_scr,iamyufan,
0.00000,llm,hyh628,
0.00000,t5_ft,hyh628,
0.00000,t5_scr,hyh628,
0.00000,llm,hst45,
0.00000,t5_ft,hst45,
0.00000,t5_scr,hst45,
0.00000,llm,haranrk,
0.00000,t5_ft,haranrk,
0.00000,t5_scr,haranrk,
0.00000,llm,hanqi-zhou,
0.00000,t5_scr,hanqi-zhou,
0.00000,llm,genpira13,
0.00000,t5_ft,genpira13,
0.00000,t5_scr,genpira13,
0.00000,llm,gabidb,
0.00000,t5_scr,gabidb,
0.00000,llm,ethan-yz-hao,
0.00000,t5_scr,ethan-yz-hao,
0.00000,llm,erinmurphy11,
0.00000,llm,echo-cool,
0.00000,llm,chrystalquek,
0.00000,t5_scr,chrystalquek,
0.00000,llm,arman0624,
0.00000,t5_ft,arman0624,
0.00000,t5_scr,arman0624,
0.00000,llm,apirjani,
0.00000,t5_ft,apirjani,
0.00000,t5_scr,apirjani,
0.00000,llm,anthonysukotjo,
0.00000,t5_ft,anthonysukotjo,
0.00000,t5_scr,anthonysukotjo,
0.00000,llm,annetta-zheng,
0.00000,t5_ft,annetta-zheng,
0.00000,t5_scr,annetta-zheng,
0.00000,llm,angkywilliam,
0.00000,t5_ft,angkywilliam,
0.00000,t5_scr,angkywilliam,
0.00000,llm,ananya834,
0.00000,t5_ft,ananya834,
0.00000,t5_scr,ananya834,
0.00000,llm,WenjieWangX,
0.00000,t5_ft,WenjieWangX,
0.00000,t5_scr,WenjieWangX,
0.00000,llm,Toison,
0.00000,t5_ft,Toison,
0.00000,t5_scr,Toison,
0.00000,llm,SrijeetaBiswas,
0.00000,t5_scr,SrijeetaBiswas,
0.00000,llm,Rohan-Narayan,
0.00000,t5_scr,Rohan-Narayan,
0.00000,llm,RachelYanggg,
0.00000,llm,Priyanshiguptaaa,
0.00000,t5_ft,Priyanshiguptaaa,
0.00000,t5_scr,Priyanshiguptaaa,
0.00000,llm,PasserBy4,
0.00000,t5_ft,PasserBy4,
0.00000,t5_scr,PasserBy4,
0.00000,llm,Nero-LL,
0.00000,t5_scr,Nero-LL,
0.00000,llm,Nathaniel-Nirmal,
0.00000,t5_ft,Nathaniel-Nirmal,
0.00000,t5_scr,Nathaniel-Nirmal,
0.00000,llm,NIC397,
0.00000,t5_scr,NIC397,
0.00000,llm,Mercury-W-C-J,
0.00000,t5_ft,Mercury-W-C-J,
0.00000,t5_scr,Mercury-W-C-J,
0.00000,llm,Marcozc19,
0.00000,t5_scr,Marcozc19,
0.00000,llm,LeoBueno15,
0.00000,t5_ft,LeoBueno15,
0.00000,t5_scr,LeoBueno15,
0.00000,llm,Kim-Sha,
0.00000,t5_ft,Kim-Sha,
0.00000,t5_scr,Kim-Sha,
0.00000,llm,Khushibhansali,
0.00000,t5_ft,Khushibhansali,
0.00000,t5_scr,Khushibhansali,
0.00000,llm,K7S3,
0.00000,t5_ft,K7S3,
0.00000,t5_scr,K7S3,
0.00000,llm,JoyJoyWang,
0.00000,t5_scr,JoyJoyWang,
0.00000,llm,GuralTOO,
0.00000,t5_ft,GuralTOO,
0.00000,t5_scr,GuralTOO,
0.00000,llm,Garethsun11,
0.00000,t5_ft,Garethsun11,
0.00000,t5_scr,Garethsun11,
0.00000,llm,GSYfate,
0.00000,t5_scr,GSYfate,
0.00000,llm,DrDrewCain,
0.00000,t5_ft,DrDrewCain,
0.00000,t5_scr,DrDrewCain,
0.00000,llm,CindyCindy424,
0.00000,t5_scr,CindyCindy424,
0.00000,llm,ChengaFEI,
0.00000,t5_ft,ChengaFEI,
0.00000,t5_scr,ChengaFEI,
0.00000,llm,AmonRS,
0.00000,t5_ft,AmonRS,
0.00000,t5_scr,AmonRS,
0.00000,llm,AmirFone,
0.00000,t5_ft,AmirFone,
0.00000,t5_scr,AmirFone,
0.00000,llm,AlphaWhiskyLou,
0.00000,t5_scr,AlphaWhiskyLou,
0.00000,llm,984580403hyxhj,
0.00000,t5_scr,984580403hyxhj,
